,time,volume,open,close,high,low
289,2022-03-21 18:07:00+00:00,853,5.49,5.5,5.5,5.48
290,2022-03-21 18:09:00+00:00,15,5.5,5.5,5.5,5.5
291,2022-03-21 18:10:00+00:00,4034,5.5,5.49,5.5,5.49
292,2022-03-21 18:11:00+00:00,109,5.49,5.49,5.49,5.49
293,2022-03-21 18:12:00+00:00,500,5.48,5.48,5.48,5.48
294,2022-03-21 18:14:00+00:00,233,5.48,5.47,5.48,5.47
295,2022-03-21 18:16:00+00:00,30,5.46,5.46,5.46,5.46
296,2022-03-21 18:17:00+00:00,10,5.46,5.47,5.47,5.46
297,2022-03-21 18:18:00+00:00,903,5.47,5.46,5.47,5.46
298,2022-03-21 18:19:00+00:00,1115,5.45,5.46,5.46,5.45
299,2022-03-21 18:20:00+00:00,1924,5.47,5.49,5.49,5.47
300,2022-03-21 18:21:00+00:00,476,5.49,5.5,5.5,5.49
301,2022-03-21 18:22:00+00:00,1252,5.49,5.49,5.5,5.49
302,2022-03-21 18:23:00+00:00,10,5.48,5.48,5.48,5.48
303,2022-03-21 18:24:00+00:00,204,5.49,5.49,5.49,5.49
304,2022-03-21 18:27:00+00:00,430,5.49,5.5,5.5,5.49
305,2022-03-21 18:28:00+00:00,13,5.49,5.5,5.5,5.49
306,2022-03-21 18:29:00+00:00,41,5.49,5.5,5.5,5.49
307,2022-03-21 18:30:00+00:00,120,5.5,5.5,5.5,5.5
308,2022-03-21 18:31:00+00:00,925,5.49,5.49,5.49,5.49
309,2022-03-21 18:32:00+00:00,937,5.48,5.47,5.48,5.47
310,2022-03-21 18:33:00+00:00,2509,5.47,5.5,5.5,5.47
311,2022-03-21 18:34:00+00:00,503,5.5,5.5,5.5,5.5
312,2022-03-21 18:35:00+00:00,1704,5.5,5.51,5.51,5.5
313,2022-03-21 18:36:00+00:00,559,5.52,5.52,5.52,5.51
314,2022-03-21 18:38:00+00:00,1,5.51,5.51,5.51,5.51
315,2022-03-21 18:39:00+00:00,48,5.52,5.52,5.52,5.52
316,2022-03-21 18:40:00+00:00,646,5.51,5.5,5.51,5.5
317,2022-03-21 18:41:00+00:00,3,5.5,5.49,5.5,5.49
318,2022-03-21 18:42:00+00:00,209,5.49,5.49,5.49,5.49
319,2022-03-21 18:43:00+00:00,11,5.48,5.48,5.48,5.48
320,2022-03-21 18:44:00+00:00,1908,5.48,5.49,5.49,5.48
321,2022-03-21 18:46:00+00:00,1620,5.5,5.51,5.51,5.5
322,2022-03-21 18:47:00+00:00,244,5.51,5.52,5.52,5.51
323,2022-03-21 18:48:00+00:00,172,5.52,5.52,5.52,5.51
324,2022-03-21 18:49:00+00:00,1354,5.51,5.48,5.51,5.48
325,2022-03-21 18:50:00+00:00,35,5.48,5.49,5.49,5.48
326,2022-03-21 18:51:00+00:00,205,5.48,5.48,5.48,5.48
327,2022-03-21 18:52:00+00:00,121,5.48,5.48,5.48,5.48
328,2022-03-21 18:53:00+00:00,31,5.47,5.48,5.48,5.47
329,2022-03-21 18:54:00+00:00,2,5.48,5.48,5.48,5.48
330,2022-03-21 18:55:00+00:00,1067,5.48,5.46,5.48,5.46
331,2022-03-21 18:56:00+00:00,4150,5.47,5.5,5.5,5.46
332,2022-03-21 18:57:00+00:00,1172,5.49,5.47,5.49,5.47
333,2022-03-21 18:58:00+00:00,2624,5.47,5.47,5.47,5.46
334,2022-03-21 18:59:00+00:00,20,5.47,5.47,5.47,5.47
335,2022-03-21 19:00:00+00:00,663,5.47,5.47,5.47,5.47
336,2022-03-21 19:01:00+00:00,1114,5.48,5.48,5.48,5.48
337,2022-03-21 19:02:00+00:00,312,5.48,5.48,5.48,5.48
338,2022-03-21 19:03:00+00:00,607,5.48,5.47,5.48,5.47
339,2022-03-21 19:04:00+00:00,2039,5.47,5.47,5.47,5.45
340,2022-03-21 19:05:00+00:00,61,5.47,5.47,5.48,5.47
341,2022-03-21 19:07:00+00:00,504,5.48,5.48,5.48,5.48
342,2022-03-21 19:08:00+00:00,449,5.48,5.48,5.48,5.48
343,2022-03-21 19:09:00+00:00,100,5.48,5.48,5.48,5.48
344,2022-03-21 19:10:00+00:00,3068,5.48,5.5,5.5,5.48
345,2022-03-21 19:11:00+00:00,213,5.49,5.51,5.51,5.49
346,2022-03-21 19:12:00+00:00,4117,5.5,5.51,5.52,5.5
347,2022-03-21 19:13:00+00:00,408,5.52,5.52,5.52,5.51
348,2022-03-21 19:14:00+00:00,2576,5.52,5.5,5.52,5.5
349,2022-03-21 19:15:00+00:00,421,5.5,5.52,5.52,5.5
350,2022-03-21 19:16:00+00:00,589,5.51,5.51,5.52,5.51
351,2022-03-21 19:17:00+00:00,11,5.5,5.51,5.51,5.5
352,2022-03-21 19:18:00+00:00,1346,5.5,5.51,5.51,5.5
353,2022-03-21 19:19:00+00:00,1685,5.51,5.52,5.52,5.51
354,2022-03-21 19:20:00+00:00,1560,5.51,5.51,5.51,5.51
355,2022-03-21 19:21:00+00:00,252,5.52,5.52,5.52,5.52
356,2022-03-21 19:22:00+00:00,86,5.52,5.51,5.52,5.51
357,2022-03-21 19:23:00+00:00,46,5.51,5.52,5.52,5.51
358,2022-03-21 19:24:00+00:00,177,5.52,5.52,5.52,5.51
359,2022-03-21 19:25:00+00:00,49,5.51,5.51,5.52,5.51
360,2022-03-21 19:26:00+00:00,105,5.52,5.52,5.52,5.52
361,2022-03-21 19:27:00+00:00,6339,5.52,5.53,5.54,5.52
362,2022-03-21 19:28:00+00:00,1,5.53,5.53,5.53,5.53
